X1,Y1
0.2365,6.79157116
0.2385,6.89304201
0.2405,6.99451379
0.2425,7.08921812
0.2445,7.1762735
0.2465,7.26332981
0.2485,7.34435208
0.2505,7.41914753
0.2525,7.49394298
0.2545,7.55967479
0.2565,7.61502795
0.2585,7.67038018
0.2605,7.71321822
0.2625,7.73652038
0.2645,7.75982253
0.2665,7.77353346
0.2685,7.76056293
0.2705,7.74759147
0.2725,7.73139205
0.2745,7.68134184
0.2766,7.63129257
0.2786,7.58124236
0.2806,7.49659305
0.2826,7.40620401
0.2846,7.31581543
0.2866,7.20177777
0.2886,7.07028899
0.2906,6.93880022
0.2926,6.7985463
0.2946,6.63043
0.2966,6.46231277
0.2986,6.29419554
0.3006,6.09797519
0.3026,5.8967364
0.3046,5.69549808
0.3066,5.48281148
0.3086,5.25310589
0.3106,5.0234003
0.3126,4.79369517
0.3146,4.54126857
0.3166,4.28629853
0.3186,4.03132848
0.3206,3.77289928
0.3226,3.50772729
0.3246,3.24255554
0.3267,2.97738356
0.3287,2.71774433
0.3307,2.46025156
0.3327,2.20275857
0.3347,1.94598071
0.3367,1.70528097
0.3387,1.46458112
0.3407,1.22388126
0.3427,0.9904576
0.3447,0.773660897
0.3467,0.556864077
0.3487,0.340067316
0.3507,0.133046662
0.3527,-0.064390952
0.3547,-0.261828594
0.3567,-0.459266186
0.3587,-0.650414149
0.3607,-0.838074542
0.3627,-1.02573493
0.3647,-1.21339527
0.3667,-1.39895268
0.3687,-1.5836854
0.3707,-1.76841812
0.3727,-1.95315061
0.3747,-2.13455106
0.3768,-2.31471285
0.3788,-2.49487418
0.3808,-2.67503574
0.3828,-2.84741214
0.3848,-3.01602762
0.3868,-3.18464264
0.3888,-3.35325836
0.3908,-3.50917084
0.3928,-3.65482015
0.3948,-3.80046968
0.3968,-3.94611945
0.3988,-4.08044551
0.4008,-4.19502379
0.4028,-4.30960208
0.4048,-4.4241799
0.4068,-4.5366413
0.4088,-4.6314504
0.4108,-4.72625904
0.4128,-4.82106721
0.4148,-4.91587585
0.4168,-5.01308311
0.4188,-5.11096651
0.4208,-5.20885084
0.4228,-5.30673424
0.4249,-5.40687609
0.4269,-5.51067293
0.4289,-5.61446929
0.4309,-5.71826566
0.4329,-5.82206249
0.4349,-5.90899587
0.4369,-5.99429756
0.4389,-6.07959926
0.4409,-6.16490096
0.4429,-6.23775553
0.4449,-6.28926512
0.4469,-6.34077564
0.4489,-6.39228616
0.4509,-6.44379621
0.4529,-6.47933921
0.4549,-6.50957413
0.4569,-6.53980812
0.4589,-6.57004211
0.4609,-6.60008937
0.4629,-6.62702369
0.4649,-6.653958
0.4669,-6.68089278
0.4689,-6.70782709
0.4709,-6.73515303
0.4729,-6.76345266
0.475,-6.79175276
0.477,-6.82005286
0.479,-6.84835343
0.481,-6.8696551
0.483,-6.88197045
0.485,-6.89428579
0.487,-6.9066016
0.489,-6.91891694
0.491,-6.90851035
0.493,-6.87624235
0.495,-6.84397575
0.497,-6.81170821
0.499,-6.77944068
0.501,-6.72234688
0.503,-6.64050132
0.505,-6.5586553
0.507,-6.4768102
0.509,-6.39496464
0.511,-6.30076043
0.513,-6.19378872
0.515,-6.08681748
0.517,-5.97984623
0.519,-5.87287452
