timw (s),Mesh1,Mesh2,Mesh3,Mesh4,Analytical
97,300.1198865,300.1038458,300.1147877,300.097175,300.1079642
98,300.1238743,300.1074425,300.1186856,300.1006213,300.1117145
99,300.1279254,300.1111003,300.1226469,300.1041281,300.1155276
100,300.1320393,300.1148189,300.126671,300.1076951,300.1194032
101,300.1362156,300.1185977,300.1307575,300.1113217,300.1233407
102,300.1404537,300.1224365,300.1349059,300.1150078,300.1273396
103,300.1447531,300.1263348,300.1391157,300.1187528,300.1313996
104,300.1491134,300.1302923,300.1433865,300.1225564,300.1355202
105,300.1535341,300.1343083,300.1477177,300.1264182,300.1397008
106,300.1580146,300.1383826,300.1521088,300.1303378,300.1439411
107,300.1625544,300.1425147,300.1565594,300.1343148,300.1482404
108,300.167153,300.1467042,300.1610688,300.1383487,300.1525984
109,300.17181,300.1509506,300.1656367,300.1424391,300.1570145
110,300.1765247,300.1552534,300.1702625,300.1465856,300.1614883
111,300.1812966,300.1596122,300.1749456,300.1507878,300.1660192
112,300.1861253,300.1640266,300.1796856,300.1550452,300.1706067
113,300.1910103,300.1684961,300.1844819,300.1593573,300.1752504
114,300.1959509,300.1730201,300.1893341,300.1637238,300.1799497
115,300.2009466,300.1775983,300.1942415,300.1681442,300.1847041
116,300.205997,300.1822303,300.1992037,300.1726181,300.1895132
117,300.2111015,300.1869154,300.2042201,300.1771449,300.1943764
118,300.2162595,300.1916532,300.2092903,300.1817242,300.1992931
119,300.2214706,300.1964434,300.2144136,300.1863557,300.204263
120,300.2267343,300.2012853,300.2195897,300.1910387,300.2092855
121,300.2320499,300.2061786,300.2248178,300.195773,300.21436
122,300.237417,300.2111227,300.2300976,300.2005579,300.2194862
123,300.2428351,300.2161172,300.2354286,300.2053931,300.2246634
124,300.2483036,300.2211617,300.2408101,300.2102781,300.2298912
125,300.253822,300.2262555,300.2462417,300.2152125,300.2351691
126,300.2593899,300.2313984,300.2517229,300.2201957,300.2404965
127,300.2650066,300.2365897,300.2572532,300.2252274,300.245873
128,300.2706717,300.2418291,300.262832,300.230307,300.2512981
129,300.2763847,300.2471161,300.2684588,300.2354342,300.2567712
130,300.2821451,300.2524502,300.2741332,300.2406085,300.262292
131,300.2879523,300.2578309,300.2798546,300.2458294,300.2678598
132,300.2938059,300.2632578,300.2856226,300.2510965,300.2734743
133,300.2997054,300.2687305,300.2914367,300.2564093,300.2791349
134,300.3056502,300.2742484,300.2972963,300.2617673,300.2848411
135,300.31164,300.2798111,300.3032009,300.2671703,300.2905925
136,300.3176741,300.2854182,300.3091502,300.2726176,300.2963886
137,300.3237522,300.2910692,300.3151436,300.2781089,300.3022289
138,300.3298737,300.2967637,300.3211806,300.2836437,300.308113
139,300.3360382,300.3025012,300.3272607,300.2892216,300.3140403
140,300.3422452,300.3082812,300.3333835,300.2948422,300.3200105
141,300.3484941,300.3141035,300.3395486,300.300505,300.326023
142,300.3547847,300.3199674,300.3457553,300.3062096,300.3320774
143,300.3611163,300.3258726,300.3520034,300.3119555,300.3381733
144,300.3674886,300.3318186,300.3582923,300.3177424,300.3443101
145,300.373901,300.337805,300.3646216,300.3235699,300.3504875
146,300.3803532,300.3438314,300.3709908,300.3294374,300.3567051
147,300.3868447,300.3498974,300.3773995,300.3353447,300.3629623
148,300.393375,300.3560025,300.3838472,300.3412913,300.3692587
149,300.3999437,300.3621464,300.3903335,300.3472767,300.3755939
150,300.4065503,300.3683286,300.396858,300.3533006,300.3819675
151,300.4131946,300.3745487,300.4034202,300.3593626,300.388379
152,300.4198759,300.3808063,300.4100197,300.3654623,300.3948281
153,300.4265939,300.387101,300.4166562,300.3715992,300.4013143
154,300.4333482,300.3934324,300.4233291,300.3777731,300.4078372
155,300.4401383,300.3998001,300.430038,300.3839834,300.4143963
156,300.4469638,300.4062037,300.4367826,300.3902299,300.4209914
157,300.4538244,300.4126429,300.4435624,300.3965121,300.4276219
158,300.4607197,300.4191172,300.4503771,300.4028296,300.4342875
159,300.4676491,300.4256262,300.4572261,300.4091821,300.4409878
160,300.4746124,300.4321696,300.4641093,300.4155692,300.4477224
161,300.4816092,300.4387471,300.471026,300.4219906,300.4544909
162,300.488639,300.4453582,300.4779761,300.4284458,300.4612929
163,300.4957014,300.4520025,300.484959,300.4349345,300.4681281
