t(s),101 (C),102 (C),103 (C),104 (C),105 (C),106 (C),107 (C),108 (C),HTU21D_1_Temp,HTU21D_1_RH,HTU21D_2_Temp,HTU21D_2_RH
32,33.313713,33.439162,33.456145,33.502204,33.487757,33.407004,26.780943,27.103429,27,78.30338,26.4,78.85041
32.25,33.324109,33.462022,33.472816,33.493895,33.48568,33.401808,26.843295,27.090951,27,79.7937,26.3,77.12545
32.5,33.297079,33.430849,33.456145,33.474162,33.476334,33.376867,26.834982,27.075354,27,79.2205,26.3,75.07706
32.75,33.239901,33.385129,33.40926,33.439888,33.461797,33.368554,26.799649,27.069115,27,77.15698,26.3,77.77231
33,33.21703,33.363308,33.398841,33.426386,33.415069,33.357122,26.791335,26.99113,27,74.86418,26.3,80.35975
33.25,33.290842,33.432927,33.43114,33.473123,33.460758,33.368554,26.778865,27.030643,26.9,74.159144,26.4,82.19252
33.5,33.309554,33.450592,33.455103,33.479355,33.496064,33.378946,26.828746,27.026484,27,77.95946,26.4,79.49727
33.75,33.208713,33.370581,33.403008,33.439888,33.441029,33.357122,26.831864,27.059757,27,80.3669,26.3,77.55669
34,33.219109,33.365386,33.384254,33.403537,33.435837,33.315554,26.818354,27.093031,27,80.48154,26.3,77.01764
34.25,33.19208,33.340447,33.364458,33.414962,33.432722,33.340495,26.796531,27.059757,27,77.61554,26.3,77.12545
34.5,33.213911,33.363308,33.370709,33.417039,33.409877,33.325946,26.773669,27.022324,26.9,76.337304,26.3,79.28165
34.75,33.303317,33.427732,33.423846,33.464814,33.45972,33.350887,26.83706,27.048319,26.9,75.878744,26.3,81.54566
35,33.226386,33.368503,33.391548,33.456506,33.447259,33.352966,26.822511,27.054558,26.9,76.566584,26.3,80.14413
35.25,33.21599,33.359151,33.369668,33.39419,33.421299,33.319711,26.839138,27.080553,26.9,78.630104,26.3,77.55669
35.5,33.179604,33.342526,33.363416,33.383804,33.412992,33.328025,26.828746,27.053518,27,80.48154,26.3,77.23326
35.75,33.171288,33.322783,33.338411,33.367186,33.382878,33.264634,26.814198,27.025444,27,78.0741,26.3,77.77231
36,33.221188,33.344604,33.371751,33.398344,33.406762,33.29477,26.774708,27.014006,26.9,76.566584,26.3,80.03632
