Time,101 (C),102 (C),103 (C),104 (C),105 (C),106 (C),107 (C),108 (C),109 (C),110 (C),111 (C),112 (C),113 (C),114 (C),115 (C),Temp,%RH
14,31.285453,31.287186,31.292119,31.398,31.245851,31.234037,31.127917,31.302141,31.285201,29.596444,29.754641,28.384329,29.008268,30.739805,29.054635,29.7,20.530552
14.25,31.34575,31.345375,31.344214,31.444737,31.284272,31.272487,31.161171,31.338534,31.313251,29.596444,29.562444,28.367687,28.740386,30.307872,29.035944,29.5,20.26688
14.5,31.243869,31.262247,31.318166,31.414618,31.282195,31.24235,31.139348,31.336455,31.310134,29.597482,29.730746,28.424893,29.038378,30.625592,29.170936,29.4,20.020404
14.75,31.3208,31.284068,31.319208,31.419811,31.286349,31.26937,31.12376,31.334375,31.340262,29.686811,29.792041,28.538264,29.021766,30.733575,29.185474,29.2,19.756732
15,31.349908,31.321476,31.366094,31.448892,31.313347,31.299506,31.187151,31.363489,31.36104,29.780294,29.819052,28.656835,29.133902,30.845712,29.275814,29,19.72234
15.25,31.325998,31.316281,31.348382,31.438506,31.302963,31.279762,31.176759,31.369728,31.34234,29.834306,29.916709,28.739003,29.142208,30.569524,29.326696,29,19.6077
15.5,31.297928,31.309007,31.343172,31.427081,31.300886,31.263134,31.16325,31.354131,31.330912,29.84677,29.865803,28.762925,29.171281,30.588213,29.390038,29,19.6077
15.75,31.34679,31.331867,31.391099,31.479011,31.346576,31.306781,31.212092,31.398843,31.379741,29.828074,29.858531,28.735883,29.3426,30.801065,29.392115,29,19.6077
16,31.328077,31.338102,31.36401,31.48732,31.329962,31.315094,31.2017,31.368688,31.352729,29.731475,29.847103,28.779567,29.235655,30.588213,29.403538,29,19.72234
16.25,31.343671,31.326672,31.382764,31.464471,31.329962,31.301585,31.187151,31.382206,31.368313,29.769907,29.877231,28.749404,29.226311,30.739805,29.331888,29.1,19.854176
16.5,31.376938,31.364079,31.387974,31.513285,31.365267,31.350427,31.230798,31.406121,31.393246,29.771984,29.902164,28.726522,29.226311,30.658818,29.294506,29,19.83698
16.75,31.373819,31.355766,31.393183,31.491474,31.343461,31.32029,31.222484,31.409241,31.378702,29.763674,29.697501,28.698439,29.076796,30.526954,29.245701,29.1,19.854176
17,31.3707,31.359923,31.405686,31.49459,31.36319,31.335878,31.243268,31.435236,31.40883,29.643185,29.746329,28.589229,29.099638,30.57783,29.221818,29.1,19.739536
17.25,31.406047,31.396291,31.436943,31.535096,31.392266,31.366015,31.257817,31.433156,31.410908,29.539315,29.553094,28.50394,29.004115,30.418971,29.076442,29.1,19.739536
