t(s),101 (C),102 (C),103 (C),104 (C),105 (C),106 (C),107 (C),108 (C),109 (C),112 (C),113 (C),114 (C),115 (C),HTU21D_1_Temp,HTU21D_1_RH,HTU21D_2_Temp,HTU21D_2_RH
13.75,33.86574,33.907796,33.945838,34.042276,33.969574,34.026367,33.788269,33.921397,32.549542,32.170293,32.264377,31.941118,31.77732,31.7,18.810952,31.2,20.5252
14,33.882374,33.917148,33.941671,34.071357,33.974766,34.059622,33.788269,33.945313,32.556814,32.195255,32.234266,31.989918,31.782512,31.6,18.793756,31.2,20.5252
14.25,33.953067,33.986768,34.00731,34.104592,34.006957,34.056504,33.804896,33.932835,32.527725,32.176534,32.222845,31.977459,31.767974,31.6,18.793756,31.2,20.63301
14.5,33.964502,33.986768,34.00731,34.114978,33.987227,34.062739,33.83815,33.943233,32.519414,32.211897,32.242572,31.985765,31.808472,31.6,18.793756,31.2,20.63301
14.75,33.914602,33.948321,33.96876,34.087974,33.976843,34.034681,33.791386,33.969228,32.514219,32.146371,32.220768,31.95254,31.817818,31.6,18.908396,31.1,20.63301
15,33.915641,33.94936,33.969802,34.057855,33.966459,34.024289,33.772681,33.919318,32.495519,32.132849,32.17093,31.970191,31.776282,31.6,18.793756,31.2,20.63301
15.25,33.857424,33.895327,33.921875,34.023581,33.950883,34.024289,33.768524,33.90684,32.522531,32.131809,32.161585,31.924506,31.742014,31.6,18.908396,31.2,20.63301
15.5,33.860542,33.894288,33.919791,34.03916,33.924923,33.958819,33.739426,33.878766,32.42903,32.067323,32.119015,31.857016,31.69944,31.6,18.908396,31.2,20.63301
15.75,33.879255,33.89117,33.914581,34.027736,33.911424,34.007662,33.762289,33.900601,32.423835,32.059002,32.119015,31.860131,31.712939,31.6,18.908396,31.2,20.63301
16,33.833513,33.871427,33.90833,34.001771,33.940499,33.994152,33.766446,33.893323,32.377085,32.054842,32.09098,31.877782,31.686979,31.6,18.908396,31.2,20.63301
16.25,33.81376,33.855841,33.86978,33.986192,33.909347,33.975446,33.732152,33.878766,32.364618,31.997636,32.031797,31.788488,31.600792,31.6,18.908396,31.2,20.63301
16.5,33.833513,33.875584,33.934377,33.997616,33.909347,33.980642,33.759171,33.883965,32.358384,31.984115,32.015185,31.808216,31.578986,31.6,18.908396,31.2,20.63301
16.75,33.863661,33.890131,33.896869,33.996578,33.940499,33.992074,33.752936,33.899562,32.309556,31.948752,31.99338,31.737612,31.591446,31.6,18.908396,31.2,20.63301
17,33.882374,33.893249,33.918749,34.028774,33.928038,33.992074,33.76021,33.899562,32.264883,31.896747,31.979882,31.727229,31.53745,31.6,18.793756,31.1,20.63301
17.25,33.795048,33.85688,33.848942,33.976844,33.887541,33.951545,33.726956,33.888124,32.278389,31.923789,31.954963,31.716846,31.565486,31.6,18.793756,31.1,20.63301
17.5,33.853265,33.892209,33.90833,33.999693,33.902078,33.956741,33.740466,33.885004,32.229561,31.892586,31.95081,31.701271,31.544718,31.6,18.793756,31.1,20.63301
17.75,33.885493,33.897405,33.907288,34.020465,33.930115,33.968172,33.76021,33.888124,32.265922,31.909228,31.975729,31.739688,31.574832,31.6,18.793756,31.1,20.63301
18,33.823117,33.851685,33.872905,33.984114,33.904155,33.97129,33.742544,33.876686,32.215016,31.917549,31.967423,31.737612,31.565486,31.6,18.908396,31.1,20.63301
18.25,33.817919,33.835059,33.88124,33.959188,33.889618,33.926604,33.72176,33.844452,32.259689,31.909228,31.915508,31.754224,31.584178,31.6,18.908396,31.1,20.74082
18.5,33.833513,33.881818,33.882282,33.990346,33.897925,33.97129,33.741505,33.861089,32.253456,31.959153,31.960155,31.78745,31.642328,31.5,18.8912,31.1,20.74082
18.75,33.844948,33.865193,33.888534,34.006964,33.906232,33.951545,33.733191,33.893323,32.300206,31.962273,31.968461,31.809254,31.66725,31.5,18.8912,31.1,20.74082
19,33.809602,33.850645,33.883324,33.97996,33.874042,33.927643,33.704094,33.840293,32.248261,31.925869,31.937312,31.791603,31.649597,31.5,18.8912,31.1,20.74082
19.25,33.798166,33.829863,33.849983,33.966458,33.867811,33.924526,33.719682,33.852771,32.226444,31.943551,31.973653,31.809254,31.655827,31.5,18.8912,31.1,20.74082
19.5,33.78985,33.838176,33.866654,33.963342,33.889618,33.941153,33.739426,33.861089,32.261767,31.93211,31.985074,31.812369,31.645443,31.5,18.8912,31.1,20.74082
19.75,33.911483,33.881818,33.913539,34.014234,33.903117,33.97129,33.732152,33.85589,32.223327,31.912348,31.907201,31.768761,31.60183,31.5,18.8912,31.1,20.74082
20,33.76282,33.777909,33.814559,33.911412,33.857427,33.914134,33.706172,33.820537,32.168266,31.878025,31.903048,31.725152,31.588331,31.6,19.023036,31.1,20.84863
20.25,33.782572,33.805964,33.839564,33.922837,33.862619,33.91933,33.706172,33.842373,32.206705,31.869704,31.899933,31.727229,31.568602,31.6,19.023036,31.1,20.84863
20.5,33.83975,33.855841,33.868738,33.978921,33.880272,33.942192,33.731113,33.860049,32.174499,31.864504,31.872937,31.72619,31.547834,31.6,19.023036,31.1,20.84863
20.75,33.854305,33.884936,33.894785,33.990346,33.892733,33.94427,33.730074,33.862129,32.168266,31.82914,31.832444,31.691926,31.521874,31.6,19.023036,31.1,20.84863
21,33.73579,33.739462,33.801014,33.895833,33.835621,33.903742,33.690584,33.831975,32.094504,31.806258,31.809601,31.673237,31.51149,31.5,19.12048,31.1,20.95644
21.25,33.78777,33.815316,33.831229,33.937377,33.852235,33.925565,33.717603,33.830935,32.116321,31.802098,31.775337,31.610939,31.475146,31.5,19.12048,31,20.95644
21.5,33.832473,33.827785,33.88124,33.951918,33.857427,33.928682,33.713446,33.85381,32.059181,31.771935,31.783644,31.63482,31.456454,31.5,19.12048,31,21.06425
21.75,33.804404,33.852724,33.859361,33.982037,33.880272,33.950506,33.713446,33.848611,32.089309,31.766734,31.800256,31.636896,31.483453,31.5,19.23512,31,21.06425
22,33.747226,33.808042,33.832271,33.917644,33.852235,33.898546,33.69578,33.844452,32.086193,31.763614,31.79195,31.667007,31.501106,31.5,19.23512,31,21.06425
22.25,33.777374,33.797651,33.834355,33.924914,33.836659,33.895428,33.694741,33.831975,32.034248,31.775055,31.776376,31.657662,31.51149,31.5,19.23512,31,21.06425
22.5,33.777374,33.814277,33.823936,33.944648,33.828352,33.895428,33.694741,33.840293,32.095543,31.805218,31.786759,31.69608,31.556141,31.5,19.34976,31,21.17206
22.75,33.802325,33.817394,33.834355,33.946725,33.863658,33.915173,33.719682,33.860049,32.120476,31.841621,31.823099,31.739688,31.594562,31.5,19.4644,31,21.27987
23,33.805444,33.844411,33.849983,33.952956,33.873003,33.91829,33.723838,33.848611,32.11736,31.82498,31.806486,31.717884,31.571717,31.5,19.4644,31,21.27987
23.25,33.76178,33.79973,33.82081,33.882332,33.836659,33.906859,33.676035,33.812218,32.119437,31.807298,31.797142,31.698156,31.556141,31.5,19.57904,31,21.38768
23.5,33.733711,33.778948,33.821852,33.911412,33.825237,33.863213,33.700976,33.80286,32.073726,31.817699,31.792988,31.712692,31.562371,31.5,19.57904,31,21.38768
23.75,33.748266,33.795573,33.815601,33.925953,33.828352,33.885036,33.717603,33.844452,32.07892,31.836421,31.796103,31.72619,31.581062,31.5,19.57904,31,21.49549
24,33.758662,33.802847,33.843732,33.970613,33.844966,33.901663,33.69578,33.840293,32.086193,31.807298,31.802333,31.711654,31.540565,31.5,19.69368,31,21.49549
24.25,33.822077,33.853763,33.894785,33.966458,33.874042,33.926604,33.720721,33.85485,32.058142,31.760494,31.778452,31.649356,31.536411,31.5,19.69368,31,21.49549
24.5,33.81584,33.861036,33.878115,33.961265,33.874042,33.934918,33.725917,33.844452,32.064376,31.760494,31.764954,31.680505,31.508374,31.5,19.80832,31,21.6033
24.75,33.822077,33.838176,33.861444,33.947763,33.869888,33.924526,33.725917,33.831975,32.026975,31.732411,31.732767,31.656624,31.490722,31.5,19.80832,31,21.6033
25,33.73787,33.763361,33.788511,33.898949,33.812776,33.869448,33.68227,33.830935,32.026975,31.762574,31.762878,31.669084,31.545757,31.5,19.92296,31,21.71111
25.25,33.78881,33.803886,33.833313,33.916605,33.82939,33.877762,33.702015,33.819497,32.012431,31.743852,31.727575,31.658701,31.48553,31.5,19.92296,31,21.71111
25.5,33.780493,33.823629,33.84269,33.945686,33.833544,33.888154,33.710329,33.811179,32.02282,31.72305,31.709924,31.645203,31.501106,31.5,20.0376,31,21.71111
25.75,33.795048,33.812199,33.839564,33.94257,33.852235,33.869448,33.729034,33.834054,32.02282,31.739692,31.748341,31.67739,31.534334,31.5,20.0376,31,21.81892
26,33.78881,33.825707,33.851025,33.956072,33.85535,33.899585,33.745662,33.85589,32.062298,31.761534,31.748341,31.672199,31.526027,31.5,20.0376,31,21.81892
26.25,33.800246,33.846489,33.865612,33.959188,33.873003,33.911016,33.756054,33.860049,32.031131,31.768814,31.752495,31.674275,31.540565,31.5,20.0376,31,21.81892
26.5,33.874057,33.875584,33.891659,33.992423,33.886502,33.911016,33.73527,33.834054,32.029053,31.746972,31.735882,31.640011,31.521874,31.4,20.020404,31,21.81892
26.75,33.791929,33.828824,33.8479,33.925953,33.846005,33.889193,33.722799,33.861089,32.015547,31.744892,31.732767,31.650394,31.528104,31.5,20.0376,31,21.81892
27,33.73787,33.783104,33.807266,33.898949,33.825237,33.86737,33.730074,33.828855,31.993731,31.751133,31.718231,31.686735,31.545757,31.4,20.020404,31,21.81892
27.25,33.734751,33.774791,33.801014,33.887525,33.830429,33.886075,33.705133,33.845492,31.990614,31.748012,31.732767,31.673237,31.52395,31.4,20.020404,31,21.81892
27.5,33.778414,33.810121,33.838523,33.92803,33.84289,33.872566,33.717603,33.842373,32.011392,31.739692,31.719269,31.681543,31.494875,31.5,20.15224,31,21.81892
27.75,33.800246,33.851685,33.86457,33.957111,33.887541,33.880879,33.730074,33.837174,31.977108,31.72201,31.695388,31.629628,31.516682,31.5,20.15224,31,21.81892
28,33.828315,33.84545,33.859361,33.950879,33.873003,33.902702,33.73527,33.845492,31.996847,31.730331,31.687082,31.673237,31.519797,31.5,20.15224,31,21.92673
28.25,33.822077,33.862076,33.856235,33.953995,33.879234,33.922447,33.733191,33.850691,32.005158,31.752173,31.723422,31.661816,31.524989,31.5,20.15224,31,21.92673
28.5,33.786731,33.830903,33.858319,33.933223,33.87508,33.911016,33.738387,33.844452,31.973991,31.750093,31.725499,31.672199,31.53745,31.4,20.135044,31,21.92673
28.75,33.723315,33.783104,33.797888,33.901026,33.819006,33.862174,33.712407,33.835094,31.959447,31.707448,31.677737,31.664931,31.49799,31.4,20.249684,31,22.03454
29,33.78985,33.813238,33.823936,33.902065,33.819006,33.848664,33.694741,33.815338,31.953213,31.686646,31.676699,31.63482,31.49799,31.4,20.249684,31,21.92673
29.25,33.781533,33.810121,33.812475,33.905181,33.815891,33.875683,33.706172,33.823656,31.983342,31.716809,31.690197,31.646241,31.512528,31.4,20.249684,31,21.92673
29.5,33.776335,33.816355,33.815601,33.921798,33.837698,33.875683,33.719682,33.826776,31.966719,31.716809,31.693312,31.649356,31.520835,31.4,20.249684,31,22.03454
29.75,33.773216,33.810121,33.823936,33.926991,33.854312,33.887114,33.736309,33.843412,31.955291,31.750093,31.704733,31.684658,31.550949,31.4,20.249684,31,22.03454
30,33.781533,33.818433,33.845816,33.929069,33.84912,33.875683,33.730074,33.865248,31.980225,31.750093,31.713039,31.68985,31.553026,31.4,20.249684,31,22.03454
30.25,33.833513,33.862076,33.889576,33.951918,33.861581,33.870487,33.73423,33.85381,31.959447,31.742812,31.715116,31.665969,31.546795,31.4,20.249684,31,22.03454
30.5,33.844948,33.86831,33.877073,33.961265,33.889618,33.90582,33.732152,33.868368,31.992692,31.734491,31.699541,31.646241,31.538488,31.4,20.364324,31,22.03454
30.75,33.863661,33.86831,33.885408,33.969574,33.88131,33.90582,33.73423,33.868368,31.982303,31.736571,31.721346,31.692965,31.541603,31.4,20.364324,31,22.14235
31,33.822077,33.862076,33.870821,33.960227,33.886502,33.908938,33.745662,33.870447,31.998925,31.742812,31.707848,31.699194,31.551987,31.4,20.478964,31,22.14235
31.25,33.724355,33.75297,33.774967,33.878177,33.792008,33.856978,33.714486,33.826776,31.941786,31.742812,31.704733,31.646241,31.545757,31.4,20.478964,31,22.25016
31.5,33.712919,33.749853,33.791637,33.875061,33.825237,33.854899,33.714486,33.835094,31.958408,31.744892,31.718231,31.710616,31.559256,31.4,20.478964,31,22.25016
31.75,33.770097,33.816355,33.831229,33.889602,33.854312,33.854899,33.715525,33.818457,31.935552,31.699128,31.682929,31.660777,31.519797,31.4,20.478964,31,22.25016
32,33.781533,33.796612,33.858319,33.939455,33.846005,33.856978,33.723838,33.849651,31.938669,31.717849,31.674622,31.669084,31.539526,31.4,20.593604,31,22.25016
32.25,33.786731,33.829863,33.828104,33.904142,33.839774,33.878801,33.730074,33.835094,31.955291,31.72617,31.679814,31.688811,31.539526,31.4,20.593604,31,22.35797
32.5,33.773216,33.838176,33.824978,33.925953,33.851197,33.873605,33.73527,33.846532,31.905424,31.72409,31.702656,31.67739,31.553026,31.4,20.708244,31,22.46578
32.75,33.751384,33.826746,33.833313,33.936339,33.864696,33.876722,33.738387,33.863169,31.935552,31.751133,31.699541,31.690888,31.544718,31.4,20.822884,31,22.6814
33,33.768018,33.818433,33.828104,33.931146,33.859504,33.868409,33.740466,33.841333,31.96568,31.72409,31.721346,31.694003,31.604946,31.4,21.166804,31,23.11264
33.25,33.778414,33.809081,33.844774,33.932184,33.84912,33.887114,33.765406,33.859009,31.948019,31.741772,31.703695,31.698156,31.603907,31.4,21.625364,31,23.7595
33.5,33.822077,33.877662,33.855193,33.930107,33.882349,33.881918,33.740466,33.859009,31.959447,31.734491,31.702656,31.679467,31.578986,31.4,22.427844,31,25.37665
33.75,33.838711,33.881818,33.878115,33.952956,33.876118,33.89335,33.738387,33.846532,31.932435,31.731371,31.698503,31.68362,31.559256,31.4,25.867044,31,33.13897
34,33.836632,33.878701,33.86978,33.947763,33.889618,33.881918,33.757093,33.841333,31.949058,31.72513,31.693312,31.680505,31.57587,31.5,37.69216,31.1,49.6339
34.25,33.828315,33.851685,33.874989,33.964381,33.889618,33.878801,33.743583,33.841333,31.940747,31.744892,31.693312,31.688811,31.592485,31.6,56.395676,31.2,58.90556
34.5,33.828315,33.86831,33.871863,33.958149,33.878195,33.878801,33.743583,33.866288,31.96568,31.72513,31.712001,31.708539,31.600792,31.7,56.986072,31.3,48.87923
34.75,33.833513,33.862076,33.863528,33.952956,33.873003,33.881918,33.788269,33.866288,31.943863,31.741772,31.718231,31.727229,31.608061,31.7,44.146392,31.2,39.39195
