t(s),101 (C),102 (C),103 (C),104 (C),105 (C),106 (C),107 (C),108 (C),109 (C),112 (C),113 (C),114 (C),115 (C),HTU21D_1_Temp,HTU21D_1_RH,HTU21D_2_Temp,HTU21D_2_RH
15,34.043512,34.097951,34.137548,34.125364,34.048493,34.041955,33.976364,34.004581,32.116321,31.816659,31.79818,31.788488,31.648558,31.5,17.40088,31,18.90805
15.25,34.094452,34.140554,34.196936,34.155483,34.080683,34.085602,34.02105,34.020178,32.197355,31.917549,31.887474,31.875705,31.752398,31.4,17.383684,31,18.90805
15.5,34.136036,34.176923,34.205271,34.18041,34.081722,34.071053,34.025206,34.0129,32.247222,31.950832,31.948733,31.973306,31.836509,31.4,17.498324,31,19.01586
15.75,34.053908,34.114577,34.163595,34.130557,34.069261,34.062739,34.022089,34.034736,32.251378,32.04028,32.029721,32.025221,31.937234,31.4,17.498324,31,19.01586
16,34.014403,34.094834,34.136506,34.113939,34.060954,34.060661,33.997148,34.001462,32.264883,32.028839,31.998572,32.000301,31.917504,31.4,17.498324,31,19.01586
16.25,34.170343,34.198744,34.251115,34.18768,34.083798,34.111582,34.040794,34.045134,32.312673,32.008037,31.975729,32.022106,31.880122,31.4,17.498324,31,19.01586
16.5,34.123561,34.165493,34.207355,34.181448,34.122219,34.089758,34.027285,34.025377,32.265922,31.966433,31.95081,31.983689,31.853123,31.4,17.498324,31,19.12367
16.75,34.044552,34.113538,34.157344,34.146136,34.08276,34.079366,34.004422,34.033696,32.205666,31.959153,31.929006,31.939042,31.804318,31.4,17.612964,31,19.12367
17,34.112126,34.176923,34.206313,34.162754,34.106643,34.081445,34.035598,34.034736,32.201511,31.893626,31.850095,31.888165,31.709824,31.4,17.612964,31,19.12367
17.25,34.158908,34.172767,34.217774,34.181448,34.112874,34.116778,34.039755,34.06385,32.099698,31.803138,31.795065,31.784335,31.625714,31.5,17.63016,31.1,19.12367
17.5,34.090294,34.136398,34.17714,34.155483,34.080683,34.086641,34.018971,34.031616,32.058142,31.756333,31.746265,31.724114,31.57587,31.5,17.63016,31.1,19.12367
17.75,34.04871,34.101069,34.165679,34.161715,34.065107,34.058582,34.006501,34.024338,31.959447,31.696007,31.638282,31.637935,31.48553,31.5,17.63016,31.1,19.12367
18,34.15267,34.188353,34.249031,34.201182,34.137795,34.102229,34.056382,34.049293,31.967758,31.668965,31.623745,31.631705,31.421149,31.5,17.63016,31.1,19.12367
18.25,34.15267,34.183157,34.225067,34.197027,34.112874,34.097033,34.044951,34.043054,31.922046,31.583677,31.592596,31.543449,31.376498,31.5,17.63016,31,19.12367
18.5,34.07574,34.136398,34.175056,34.161715,34.08899,34.093915,34.030402,34.06593,31.934513,31.603438,31.57183,31.559024,31.372344,31.5,17.63016,31,19.12367
18.75,34.07574,34.129124,34.185475,34.141982,34.100413,34.090798,34.028324,34.030576,31.914774,31.552474,31.545873,31.549679,31.385843,31.5,17.63016,31,19.23148
19,34.171383,34.195627,34.270911,34.229224,34.133642,34.123013,34.063657,34.076328,31.940747,31.563915,31.594673,31.534105,31.389997,31.5,17.63016,31,19.23148
19.25,34.132918,34.169649,34.213607,34.204298,34.121181,34.090798,34.039755,34.049293,31.934513,31.599278,31.594673,31.574598,31.415957,31.4,17.612964,31,19.23148
19.5,34.066383,34.121851,34.180266,34.165869,34.112874,34.095994,34.032481,34.056571,31.908541,31.628401,31.604018,31.608862,31.464762,31.4,17.727604,30.9,19.23148
19.75,34.091334,34.139515,34.181308,34.17314,34.113912,34.092876,34.036638,34.035775,31.93763,31.630481,31.632052,31.651433,31.48553,31.4,17.727604,30.9,19.23148
20,34.17866,34.203939,34.25945,34.219877,34.130526,34.125091,34.0595,34.075288,31.959447,31.662724,31.660086,31.638973,31.52395,31.4,17.727604,30.9,19.33929
20.25,34.115244,34.147828,34.211523,34.201182,34.101451,34.119895,34.067814,34.076328,31.973991,31.72825,31.759763,31.735535,31.616368,31.4,17.727604,30.9,19.33929
20.5,34.085096,34.135359,34.174014,34.181448,34.106643,34.081445,34.034559,34.055532,31.979186,31.71889,31.710963,31.731382,31.618445,31.4,17.842244,30.9,19.33929
20.75,34.131878,34.196666,34.244864,34.208452,34.11495,34.111582,34.055343,34.081527,31.991653,31.741772,31.712001,31.757339,31.623637,31.3,17.825048,30.9,19.4471
21,34.169304,34.224721,34.261534,34.216761,34.137795,34.125091,34.056382,34.094004,32.005158,31.736571,31.708886,31.731382,31.605984,31.3,17.939688,30.9,19.55491
21.25,34.078858,34.162375,34.201104,34.183526,34.103528,34.118856,34.064696,34.079447,32.031131,31.72617,31.729652,31.761492,31.631944,31.4,18.071524,30.9,19.55491
21.5,34.090294,34.143672,34.188601,34.183526,34.100413,34.083523,34.058461,34.070089,31.978147,31.71889,31.714078,31.735535,31.609099,31.4,18.071524,30.9,19.66272
21.75,34.196333,34.246543,34.282372,34.245842,34.156486,34.137562,34.080284,34.092964,31.968797,31.699128,31.686043,31.68985,31.583139,31.4,18.071524,30.9,19.66272
22,34.132918,34.19147,34.230277,34.199105,34.150256,34.104307,34.081323,34.087765,31.978147,31.711609,31.678775,31.705424,31.571717,31.4,18.186164,30.9,19.66272
22.25,34.084056,34.139515,34.196936,34.172101,34.110797,34.099111,34.083402,34.078407,31.941786,31.645042,31.670469,31.680505,31.534334,31.4,18.186164,30.9,19.77053
22.5,34.186977,34.217448,34.280288,34.241687,34.16687,34.151071,34.093794,34.100243,31.908541,31.637762,31.624784,31.635858,31.496952,31.4,18.300804,30.9,19.87834
22.75,34.173462,34.228878,34.284456,34.229224,34.16064,34.123013,34.070931,34.088805,31.931397,31.587837,31.581175,31.608862,31.475146,31.4,18.415444,30.9,19.87834
23,34.094452,34.151984,34.235486,34.204298,34.139872,34.117817,34.079245,34.088805,31.897113,31.630481,31.58429,31.619245,31.481376,31.4,18.415444,30.9,19.98615
23.25,34.096532,34.135359,34.205271,34.174178,34.126373,34.092876,34.054304,34.072168,31.883607,31.585757,31.592596,31.610939,31.450224,31.3,18.512888,30.9,20.09396
23.5,34.17866,34.207057,34.257366,34.222992,34.131565,34.125091,34.09795,34.106482,31.830623,31.588877,31.564562,31.578752,31.450224,31.4,18.530084,30.9,20.09396
23.75,34.142274,34.184197,34.256324,34.216761,34.157525,34.160424,34.093794,34.099203,31.837896,31.590957,31.599865,31.629628,31.479299,31.3,18.512888,30.9,20.09396
24,34.088215,34.150945,34.206313,34.189757,34.11495,34.121974,34.078206,34.110641,31.832701,31.61592,31.599865,31.621322,31.505259,31.3,18.627528,30.9,20.09396
24.25,34.112126,34.190431,34.218816,34.199105,34.127411,34.12717,34.065735,34.086726,31.839973,31.612799,31.622707,31.635858,31.509413,31.3,18.627528,30.9,20.09396
24.5,34.185937,34.243425,34.283414,34.252073,34.161678,34.16562,34.103146,34.11792,31.891918,31.611759,31.637243,31.645203,31.531219,31.3,18.627528,30.9,20.09396
24.75,34.117324,34.161336,34.236528,34.205336,34.141949,34.137562,34.091715,34.1148,31.876335,31.642962,31.665277,31.695041,31.570678,31.3,18.627528,30.9,20.09396
25,34.147472,34.203939,34.226109,34.201182,34.151294,34.107425,34.104186,34.100243,31.869063,31.639842,31.648665,31.682582,31.555102,31.3,18.627528,30.9,20.20177
25.25,34.212967,34.237191,34.295917,34.275961,34.200099,34.159385,34.118734,34.11688,31.899191,31.654403,31.631014,31.686735,31.571717,31.3,18.627528,30.9,20.20177
25.5,34.119403,34.204979,34.268827,34.224031,34.158563,34.154189,34.103146,34.106482,31.895035,31.678326,31.665277,31.705424,31.56341,31.3,18.742168,30.9,20.20177
25.75,34.105888,34.171727,34.233403,34.195989,34.14091,34.114699,34.107303,34.111681,31.866985,31.650243,31.665277,31.697118,31.58937,31.3,18.742168,30.9,20.20177
26,34.10173,34.207057,34.235486,34.201182,34.141949,34.151071,34.11146,34.100243,31.870101,31.638802,31.640358,31.694003,31.570678,31.3,18.742168,30.9,20.30958
26.25,34.192175,34.247582,34.284456,34.264536,34.165832,34.164581,34.134322,34.125198,31.884646,31.634641,31.641397,31.682582,31.554064,31.3,18.742168,30.8,20.20177
26.5,34.093413,34.186275,34.241738,34.206375,34.145064,34.133405,34.089637,34.109601,31.863868,31.656484,31.665277,31.680505,31.580024,31.3,18.742168,30.8,20.20177
26.75,34.110046,34.165493,34.207355,34.198066,34.156486,34.114699,34.106264,34.105442,31.830623,31.674165,31.667354,31.682582,31.551987,31.3,18.742168,30.9,20.30958
27,34.189056,34.244464,34.285498,34.259343,34.187638,34.168738,34.116656,34.127278,31.837896,31.6232,31.637243,31.679467,31.545757,31.3,18.742168,30.8,20.30958
27.25,34.169304,34.231995,34.265702,34.253112,34.178293,34.150032,34.116656,34.131437,31.832701,31.632561,31.63309,31.658701,31.527066,31.3,18.856808,30.8,20.30958
27.5,34.103809,34.172767,34.234445,34.211568,34.125334,34.135483,34.108342,34.121039,31.834779,31.62424,31.616477,31.670122,31.540565,31.3,18.856808,30.8,20.30958
27.75,34.130838,34.186275,34.244864,34.22507,34.156486,34.121974,34.115617,34.11584,31.82439,31.609679,31.613362,31.661816,31.544718,31.3,18.856808,30.8,20.41739
28,34.201531,34.263168,34.296959,34.270768,34.216714,34.162502,34.12497,34.134556,31.827507,31.586797,31.592596,31.636896,31.503182,31.3,18.856808,30.8,20.41739
28.25,34.136036,34.212252,34.247989,34.226108,34.159602,34.154189,34.106264,34.118959,31.82439,31.603438,31.613362,31.654548,31.538488,31.3,18.856808,30.8,20.41739
28.5,34.092373,34.156141,34.211523,34.193912,34.14091,34.132366,34.121852,34.104402,31.79634,31.609679,31.598826,31.642088,31.534334,31.3,18.971448,30.9,20.41739
28.75,34.206729,34.245503,34.288623,34.255189,34.200099,34.189522,34.145754,34.139755,31.853479,31.610719,31.614401,31.663892,31.518758,31.3,18.971448,30.8,20.41739
29,34.211927,34.256934,34.284456,34.267652,34.200099,34.147954,34.143675,34.128318,31.821273,31.574316,31.58429,31.630667,31.500067,31.3,18.856808,30.8,20.41739
29.25,34.113165,34.189392,34.234445,34.220915,34.157525,34.13964,34.120813,34.134556,31.808806,31.599278,31.594673,31.640011,31.536411,31.3,18.856808,30.9,20.41739
29.5,34.089254,34.166532,34.213607,34.207413,34.142987,34.131326,34.107303,34.111681,31.808806,31.595118,31.620631,31.627552,31.51149,31.3,18.971448,30.8,20.5252
29.75,34.20361,34.275637,34.30321,34.256228,34.210483,34.174973,34.15095,34.16575,31.81504,31.589917,31.588443,31.649356,31.554064,31.3,18.971448,30.8,20.5252
30,34.175541,34.242386,34.289665,34.256228,34.171024,34.166659,34.117695,34.125198,31.788028,31.589917,31.574945,31.627552,31.532258,31.3,18.971448,30.8,20.5252
30.25,34.093413,34.173806,34.217774,34.217799,34.167909,34.155228,34.109382,34.130397,31.80569,31.629441,31.602979,31.654548,31.551987,31.3,18.971448,30.8,20.5252
30.5,34.123561,34.192509,34.236528,34.219877,34.177254,34.146914,34.110421,34.132477,31.785951,31.610719,31.600903,31.654548,31.545757,31.3,19.086088,30.8,20.63301
30.75,34.169304,34.24966,34.291749,34.260382,34.201138,34.173934,34.141597,34.134556,31.795301,31.61696,31.585328,31.640011,31.51772,31.3,19.200728,30.8,20.63301
31,34.150591,34.208096,34.270911,34.242726,34.195946,34.12717,34.136401,34.096084,31.788028,31.589917,31.585328,31.637935,31.51772,31.3,19.200728,30.8,20.74082
31.25,34.106928,34.159258,34.219858,34.213645,34.147141,34.132366,34.130166,34.129357,31.799456,31.604479,31.611286,31.686735,31.53745,31.3,19.200728,30.8,20.74082
31.5,34.103809,34.190431,34.23757,34.199105,34.159602,34.132366,34.12393,34.122079,31.811923,31.604479,31.616477,31.646241,31.556141,31.3,19.200728,30.8,20.74082
31.75,34.184898,34.253816,34.280288,34.262459,34.194907,34.167698,34.146793,34.1148,31.814001,31.610719,31.612324,31.645203,31.536411,31.2,19.298172,30.8,20.95644
32,34.12772,34.204979,34.23757,34.228185,34.162717,34.157306,34.131205,34.128318,31.795301,31.602398,31.600903,31.658701,31.542642,31.3,19.544648,30.8,21.17206
32.25,34.07574,34.171727,34.203188,34.172101,34.149218,34.142758,34.135362,34.11792,31.768289,31.598238,31.604018,31.67739,31.547834,31.3,19.888568,30.8,21.71111
32.5,34.156828,34.241347,34.269869,34.251035,34.173101,34.161463,34.145754,34.134556,31.817118,31.6232,31.607133,31.676352,31.567563,31.3,20.576408,30.9,22.46578
32.75,34.159947,34.228878,34.283414,34.252073,34.193869,34.159385,34.134322,34.128318,31.792184,31.604479,31.613362,31.665969,31.560294,31.3,21.608168,30.9,24.29855
33,34.0747,34.15718,34.232361,34.224031,34.156486,34.142758,34.132244,34.122079,31.820234,31.638802,31.625822,31.690888,31.586254,31.3,24.818088,30.9,32.27649
33.25,34.077819,34.165493,34.210481,34.179371,34.142987,34.123013,34.090676,34.122079,31.755822,31.61696,31.612324,31.67739,31.561333,31.3,38.918808,30.9,48.87923
33.5,34.195294,34.244464,34.283414,34.280115,34.204253,34.166659,34.136401,34.163671,31.781795,31.61488,31.610248,31.665969,31.570678,31.4,55.444164,31.1,56.31812
33.75,34.148512,34.2268,34.272995,34.23961,34.169986,34.155228,34.127048,34.119999,31.801534,31.61488,31.610248,31.663892,31.560294,31.5,54.20032,31.1,51.14324
34,34.096532,34.175884,34.204229,34.198066,34.148179,34.11366,34.131205,34.140795,31.782834,31.629441,31.624784,31.69608,31.580024,31.5,49.95864,31.1,50.60419
34.25,34.174502,34.26109,34.289665,34.270768,34.219829,34.157306,34.146793,34.149114,31.809845,31.611759,31.632052,31.668045,31.57587,31.5,51.44896,31.2,53.62287
34.5,34.157868,34.2268,34.280288,34.248957,34.209445,34.160424,34.133283,34.145994,31.758939,31.586797,31.612324,31.664931,31.547834,31.6,55.822476,31.2,57.93527
34.75,34.117324,34.182118,34.2209,34.207413,34.148179,34.143797,34.134322,34.141835,31.789067,31.618,31.613362,31.687773,31.583139,31.6,59.605596,31.2,59.98366
35,34.176581,34.268364,34.289665,34.261421,34.213598,34.176012,34.185243,34.159512,31.781795,31.635682,31.63932,31.711654,31.593523,31.6,59.720236,31.2,57.82746
35.25,34.157868,34.251738,34.277162,34.273884,34.216714,34.159385,34.170694,34.164711,31.802573,31.638802,31.634128,31.697118,31.626752,31.6,58.459196,31.2,57.82746
35.5,34.163066,34.235112,34.274037,34.242726,34.191792,34.137562,34.154067,34.142875,31.799456,31.627361,31.642435,31.686735,31.588331,31.6,59.376316,31.1,59.55242
35.75,34.080938,34.167571,34.197978,34.201182,34.139872,34.117817,34.117695,34.121039,31.791145,31.645042,31.648665,31.692965,31.62156,31.5,60.27624,31.1,60.19928
36,34.159947,34.234073,34.275079,34.255189,34.193869,34.166659,34.159263,34.150153,31.853479,31.671045,31.676699,31.735535,31.640251,31.5,60.7348,31.1,60.84614
36.25,34.158908,34.239269,34.25945,34.251035,34.188677,34.158346,34.142636,34.138716,31.837896,31.648163,31.68812,31.735535,31.61533,31.5,61.65192,31,59.76804
36.5,34.134997,34.227839,34.253199,34.220915,34.181408,34.128209,34.131205,34.126238,31.866985,31.691847,31.733805,31.786412,31.696325,31.4,58.998004,31,59.22899
36.75,34.096532,34.174845,34.288623,34.208452,34.163755,34.131326,34.141597,34.151193,31.981264,31.859303,31.909278,31.948386,31.854162,31.4,61.290804,30.9,61.493
37,34.150591,34.252777,34.289665,34.255189,34.217752,34.163542,34.166538,34.157432,32.058142,31.948752,31.949772,32.054293,31.948656,31.4,61.864004,30.9,61.38519
37.25,34.15267,34.230956,34.253199,34.178333,34.184523,34.146914,34.153028,34.137676,32.06022,31.943551,31.96327,32.057408,31.983962,31.4,62.322564,30.9,61.27738
37.5,34.10173,34.231995,34.208397,34.185603,34.157525,34.133405,34.13744,34.136636,32.079959,31.961233,31.986112,32.099978,32.01096,31.3,62.305368,30.9,62.03205
37.75,34.070542,34.171727,34.218816,34.20222,34.15441,34.121974,34.143675,34.128318,32.093465,31.996596,32.022453,32.080251,32.022382,31.3,62.420008,31,62.5711
38,34.174502,34.246543,34.275079,34.24688,34.194907,34.140679,34.174851,34.151193,32.140215,32.000757,32.009993,32.101017,32.019267,31.3,64.254248,31,62.78672
38.25,34.132918,34.201861,34.238612,34.230263,34.189715,34.143797,34.160302,34.134556,32.085154,31.975794,32.001687,32.076097,31.999538,31.4,63.125044,31,61.81643
38.5,34.070542,34.15718,34.190685,34.172101,34.138834,34.107425,34.143675,34.135596,32.052948,31.972674,31.970538,32.065714,31.973578,31.4,61.176164,31,60.4149
38.75,34.083017,34.185236,34.2209,34.214684,34.174139,34.124052,34.159263,34.123119,32.049831,31.917549,31.937312,32.020029,31.895698,31.3,60.700408,31,59.22899
39,34.15163,34.2268,34.257366,34.240649,34.200099,34.13964,34.192518,34.148074,32.012431,31.859303,31.904086,31.94008,31.856238,31.3,60.929688,30.9,61.16957
39.25,34.121482,34.193548,34.229235,34.226108,34.175178,34.12613,34.160302,34.141835,31.967758,31.814579,31.83452,31.893357,31.773166,31.4,63.468964,31,63.75701
39.5,34.064304,34.162375,34.184433,34.181448,34.141949,34.109503,34.139518,34.121039,31.939708,31.805218,31.825176,31.886088,31.74513,31.4,65.073924,31,62.35548
39.75,34.162026,34.227839,34.25945,34.261421,34.177254,34.144836,34.172773,34.16887,31.906463,31.767774,31.762878,31.825867,31.703594,31.4,62.207924,31,59.44461
